code;name;category;stock_quantity;simple_description;display_order;visible
01003           ;MICRO SD KINGSTON 100 MB/S 64GB   ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 64GB ⚡ almacenamiento portátil y confiable;1;1
01004           ;MICRO SD KINGSTON 100 MB/S 128GB  ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 128GB ⚡ almacenamiento portátil y confiable;2;1
01005           ;MICRO SD KINGSTON 100 MB/S 256GB  ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 256GB ⚡ almacenamiento portátil y confiable;;0
01006           ;MICRO SD KINGSTON 100 MB/S 512GB  ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 512GB ⚡ almacenamiento portátil y confiable;;1
01016           ;FLASH EXODIA K 3,2 64GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;1;💾 64GB ⚡ velocidad USB 3.2 y práctico;;1
01017           ;FLASH EXODIA K 3,2 128GB          ;MICRO SD / PEN DRIVES / DISCOS DUROS;22;💾 128GB ⚡ velocidad USB 3.2 y práctico;;1
010251          ;FLASH MEMORY SANDISK UL FIT 32GB  ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💾 32GB ⚡ diseño compacto y rápido;;1
010271          ;FLASH MEMORY SANDISK 128GB        ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💾 128GB ⚡ almacenamiento portátil y práctico;;1
01030           ;DDS KINGSTON A400 240GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 240GB ⚡ rendimiento rápido y estable;;1
01031           ;DDS KINGSTON A400 480GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 480GB ⚡ rendimiento rápido y estable;;1
01034           ;FLASH MEMORY ECCO 16GB            ;MICRO SD / PEN DRIVES / DISCOS DUROS;68;💾 16GB ⚡ almacenamiento portátil y práctico;;1
01035           ;FLASH MEMORY ECCO 4GB             ;MICRO SD / PEN DRIVES / DISCOS DUROS;232;💾 4GB ⚡ almacenamiento portátil y práctico;;1
01036           ;FLASH MEMORY ECCO 8GB             ;MICRO SD / PEN DRIVES / DISCOS DUROS;162;💾 8GB ⚡ almacenamiento portátil y práctico;;1
01037           ;MEMORIA MICRO SD ECCO 16GB        ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 16GB ⚡ almacenamiento portátil y confiable;;1
01038           ;MEMORIA MICRO SD ECCO 4GB         ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 4GB ⚡ almacenamiento portátil y confiable;;1
01039           ;MEMORIA MICRO SD ECCO 8GB         ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 8GB ⚡ almacenamiento portátil y confiable;;1
010391          ;MEMORIA MICRO SD ECCO 32GB        ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 32GB ⚡ almacenamiento portátil y confiable;;1
01043           ;DDS KINGSTON A400 960GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 960GB ⚡ rendimiento rápido y estable;;1
01046           ;DDS WESTERN DIGITAL 240GB         ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 240GB ⚡ rendimiento rápido y estable;;1
01049           ;DDS KINGSTON M2 500GB             ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 500GB ⚡ formato M.2 rápido y eficiente;;1
01050           ;DDS KINGSTON M2  1TB              ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 1TB ⚡ formato M.2 rápido y eficiente;;1
01053           ;DDS ADATA 240GB                   ;MICRO SD / PEN DRIVES / DISCOS DUROS;5;💽 240GB ⚡ rendimiento rápido y estable;;1
01054           ;DDS ADATA 480GB                   ;MICRO SD / PEN DRIVES / DISCOS DUROS;2;💽 480GB ⚡ rendimiento rápido y estable;;1
01056           ;DDS WESTERN DIGITAL 480GB         ;MICRO SD / PEN DRIVES / DISCOS DUROS;4;💽 480GB ⚡ rendimiento rápido y estable;;1
010561          ;DDS WESTERN DIGITAL 1TB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💽 1TB ⚡ rendimiento rápido y estable;;1
01057           ;FLASH MEMORY ECCO 32GB            ;MICRO SD / PEN DRIVES / DISCOS DUROS;3;💾 32GB ⚡ almacenamiento portátil y práctico;;1
010632          ;FLASH MEMORY SANDISK UL FIT 16GB  ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💾 16GB ⚡ diseño compacto y rápido;;1
01065           ;ENCLOSURE ARGOM 2.51nc SATA       ;MICRO SD / PEN DRIVES / DISCOS DUROS;4;💽 Enclosure SATA ⚡ convierte discos en almacenamiento externo;;1
01075           ;FLASH MEMORY ADATA 32GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💾 32GB ⚡ almacenamiento portátil y práctico;;1
01076           ;FLASH MEMORY ADATA 64GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;10;💾 64GB ⚡ almacenamiento portátil y práctico;;1
01085           ;FLASH MEMORY SPEED 4GB            ;MICRO SD / PEN DRIVES / DISCOS DUROS;2;💾 4GB ⚡ almacenamiento portátil y práctico;;1
01086           ;FLASH MEMORY SPEED 8GB            ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;💾 8GB ⚡ almacenamiento portátil y práctico;;1
01087           ;FLASH MEMORY SPEED 16GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;2;💾 16GB ⚡ almacenamiento portátil y práctico;;1
01088           ;FLASH MEMORY SPEED 32GB           ;MICRO SD / PEN DRIVES / DISCOS DUROS;214;💾 32GB ⚡ almacenamiento portátil y práctico;;1
01090           ;MEMORIA MICRO SD SPEED 4GB        ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 4GB ⚡ almacenamiento portátil y confiable;;1
01091           ;MEMORIA MICRO SD SPEED 8GB        ;MICRO SD / PEN DRIVES / DISCOS DUROS;18;📱 8GB ⚡ almacenamiento portátil y confiable;;1
01092           ;MEMORIA MICRO SD SPEED 16GB       ;MICRO SD / PEN DRIVES / DISCOS DUROS;0;📱 16GB ⚡ almacenamiento portátil y confiable;;1
01093           ;MEMORIA MICRO SD SPEED 32GB       ;MICRO SD / PEN DRIVES / DISCOS DUROS;35;📱 32GB ⚡ almacenamiento portátil y confiable;;1
