code;name;category;stock_quantity;simple_description;display_order;visible
09020;LAMINA RICH TRANSP HD;RICH;1374;📱 Lámina protectora 🛡️ alta claridad y resistencia;1;1
09021;LAMINA RICH MATE;RICH;0;📱 Lámina mate 🛡️ acabado suave y resistente;2;1
05675;CARG ANSTY C-054T SCH TIPO C;CARGADORES / POWERBANKS;2757;🔌 Cargador ⚡ carga rápida y segura;3;1
09022;LAMINA RICH ANTIESPIA MATE;RICH;595;📱 Lámina antiespía 🛡️ privacidad y protección;4;1
02001;CABLE LDNIO SY-03 BLANCO 1M V8;CABLES / ADAPTADORES;382;🔌 1m ⚡ carga práctica y resistente;5;1
02003;CABLE LDNIO XS-07 PLANO 1M TIPO C;CABLES / ADAPTADORES;623;🔌 07 P ⚡ carga rápida Type-C;6;1
02122;CABLE LDNIO LS841 25W TIPO C;CABLES / ADAPTADORES;751;🔌 25W 1m ⚡ carga rápida Type-C;7;1
05676;CARG ANSTY C-054A SCH V8;CARGADORES / POWERBANKS;645;🔌 Cargador ⚡ carga rápida y segura;8;1
090201;LAMINA RICH UV HD;RICH;697;📱 Lámina protectora 🛡️ alta claridad y resistencia;9;1
02221;CABLE LDNIO LS901 1M TIPO C;CABLES / ADAPTADORES;445;🔌 1m ⚡ carga rápida Type-C;10;1
09035;LAMINA RICH ANTI-BLUE;RICH;1;📱 Lámina anti-blue 🛡️ protección visual diaria;11;1
05625;CARG ECCO 18W FAST CHARGER TIPO C;CARGADORES / POWERBANKS;253;🔌 18W ⚡ carga rápida y segura;12;1
02121;CABLE LDNIO LS841 25W V8;CABLES / ADAPTADORES;162;🔌 25W 1m ⚡ carga práctica y resistente;13;1
05014;CARG LDNIO 18W A1204Q 3.0 TIPO C;CARGADORES / POWERBANKS;106;🔌 18W ⚡ carga rápida y segura;14;1
02002;CABLE LDNIO SY-03 BLANCO 1M IOS;CABLES / ADAPTADORES;173;🔌 1m ⚡ carga estable para iPhone;15;1
02123;CABLE LDNIO LS841 25W IOS;CABLES / ADAPTADORES;128;🔌 25W 1m ⚡ carga estable para iPhone;16;1
09025;SKIN DE DISEÑO ALTO RELIEVE SURTID;RICH;47;🎨 Skin diseño 🔥 estilo y protección con relieve;17;1
090211;LAMINA RICH SUPER PREMIUN HD;RICH;136;📱 Lámina protectora 🛡️ alta claridad y resistencia;18;1
09038;LAMINA RICH ANTIESPIA HD;RICH;301;📱 Lámina antiespía 🛡️ privacidad y protección;19;1
02220;CABLE LDNIO LS901 1M V8;CABLES / ADAPTADORES;237;🔌 1m ⚡ carga práctica y resistente;20;1
09047;LAMINA RICH LITE TRANS HD;RICH;0;📱 Lámina protectora 🛡️ alta claridad y resistencia;21;1
09045;LAMINA RICH LITE ANTIESPIA MATE;RICH;648;📱 Lámina antiespía 🛡️ privacidad y protección;22;1
02222;CABLE LDNIO LS901 1M IOS;CABLES / ADAPTADORES;0;🔌 1m ⚡ carga estable para iPhone;23;1
09046;LAMINA RICH LITE MATE;RICH;699;📱 Lámina mate 🛡️ acabado suave y resistente;24;1
01035;FLASH MEMORY ECCO 4GB;MICRO SD / PEN DRIVES / DISCOS DUROS;232;💾 4GB ⚡ almacenamiento portátil y práctico;25;1
09043;LAMINA RICH EPU PRO ANTIESPIA HD;RICH;246;📱 Lámina antiespía 🛡️ privacidad y protección;26;1
02041;CABLE LDNIO LS441 NYLON 1M TIPO C;CABLES / ADAPTADORES;124;🔌 1m ⚡ carga rápida Type-C;27;1
05626;CARG ECCO 18W FAST CHARGER V8;CARGADORES / POWERBANKS;80;🔌 18W ⚡ carga rápida y segura;28;1
02415;CABLE ANSTY Z09-T TIPO C;CABLES / ADAPTADORES;878;🔌 1m ⚡ carga rápida Type-C;29;1
02126;CABLE LDNIO LS641 COR 1M TIPO C;CABLES / ADAPTADORES;0;🔌 1m ⚡ carga rápida Type-C;30;1
09040;LAMINA RICH EPU PRO TRANS HD;RICH;500;📱 Lámina protectora 🛡️ alta claridad y resistencia;31;1
09039;LAMINA DISEÑO MATE;RICH;552;📱 Lámina mate 🛡️ acabado suave y resistente;32;1
02201;CABLE LDNIO LS851 25W TIPO C;CABLES / ADAPTADORES;401;🔌 25W 1m ⚡ carga rápida Type-C;33;1
01036;FLASH MEMORY ECCO 8GB;MICRO SD / PEN DRIVES / DISCOS DUROS;162;💾 8GB ⚡ almacenamiento portátil y práctico;34;1
02096;CABLE LDNIO LS631 1M TIPO C;CABLES / ADAPTADORES;0;🔌 1m ⚡ carga rápida Type-C;35;1
0201021;CABLE LDNIO LC901 30W TC A IP;CABLES / ADAPTADORES;0;🔌 30W USB-C a iPhone ⚡ carga rápida;36;1
05711;CUBO LDNIO TRAVEL 20W H1209C 1PD T;CARGADORES / POWERBANKS;2;🌍 Adaptador universal 🔌 ideal para viajes y enchufes múltiples;37;1
03002;AUDIF ECON ML FUNDA NEGRO;AUDIFONOS / MICROFONOS;0;🎧 Manos libres 🎵 audio claro para uso diario;38;1
05013;CARG LDNIO 18W A1204Q 3.0 V8;CARGADORES / POWERBANKS;106;🔌 18W ⚡ carga rápida y segura;39;1
05695;CARG ANSTY 18W Q-067 TIPO C;CARGADORES / POWERBANKS;108;🔌 18W ⚡ carga rápida y segura;40;1
056651;AUTO CAR ANSTY CAR-026 P USB-C;CARGADORES / POWERBANKS;594;🚗 Cargador auto ⚡ carga rápida en el vehículo;41;1
020102;CABLE LDNIO LC901 65W TC A C;CABLES / ADAPTADORES;40;🔌 65W USB-C ⚡ carga rápida y estable;42;1
02211;CABLE LDNIO LS902 25W 2M TC;CABLES / ADAPTADORES;0;🔌 25W 2m ⚡ carga rápida Type-C;43;1
05651;CARG ANSTY 33W Q-045T TIPO C;CARGADORES / POWERBANKS;1;🔌 33W ⚡ carga rápida y segura;44;1
05710;CUBO LDNIO TRAVEL 18W H1209Q 1PD U;CARGADORES / POWERBANKS;0;🌍 Adaptador universal 🔌 ideal para viajes y enchufes múltiples;45;1
036441;AUDIF ECCO ML ECON FUN NEGRO;AUDIFONOS / MICROFONOS;173;🎧 Manos libres 🎵 audio claro para uso diario;46;1
02108;CABLE LDNIO LS801 1M TIPO C;CABLES / ADAPTADORES;194;🔌 1m ⚡ carga rápida Type-C;47;1
050462;CARG IP 20W TC A IP;CARGADORES / POWERBANKS;181;🔌 20W ⚡ carga rápida y segura;48;1
02058;CABLE LDNIO LC121 1M TC A IOS;CABLES / ADAPTADORES;0;🔌 USB-C a iPhone ⚡ carga rápida;49;1
03644;AUDIF ECCO ML ECON FUN BLANCO;AUDIFONOS / MICROFONOS;197;🎧 Manos libres 🎵 audio claro para uso diario;50;1
01085;FLASH MEMORY SPEED 4GB;MICRO SD / PEN DRIVES / DISCOS DUROS;2;💾 4GB ⚡ almacenamiento portátil y práctico;51;1
05701;CUBO LDNIO TRAVEL 12W H2221 2PD US;CARGADORES / POWERBANKS;16;🌍 Adaptador universal 🔌 ideal para viajes y enchufes múltiples;52;1
01034;FLASH MEMORY ECCO 16GB;MICRO SD / PEN DRIVES / DISCOS DUROS;68;💾 16GB ⚡ almacenamiento portátil y práctico;53;1
05139;CUBO IP 20W;CARGADORES / POWERBANKS;97;🔌 20W ⚡ carga rápida y segura;54;1
05623;CARG ECCO 12W 2A V8;CARGADORES / POWERBANKS;4;🔌 12W ⚡ carga rápida y segura;55;1
05084;CARG LDNIO 18W A1204Q 3.0 IOS;CARGADORES / POWERBANKS;75;🔌 18W ⚡ carga rápida y segura;56;1
05627;CARG ECCO 20W FAST CHARGER TC A C;CARGADORES / POWERBANKS;181;🔌 20W ⚡ carga rápida y segura;57;1
05171;CARG IP 35W T C A C;CARGADORES / POWERBANKS;109;🔌 35W ⚡ carga rápida y segura;58;1
03019;AUDIF SAMSUNG ML HS330 BLANCO;AUDIFONOS / MICROFONOS;62;🎧 Manos libres 🎵 audio claro para uso diario;59;1
051651;CARG IP 25W TC A IP;CARGADORES / POWERBANKS;272;🔌 25W ⚡ carga rápida y segura;60;1
02200;CABLE LDNIO LS851 25W V8;CABLES / ADAPTADORES;136;🔌 25W 1m ⚡ carga práctica y resistente;61;1
02416;CABLE ANSTY Z09-A  V8;CABLES / ADAPTADORES;199;🔌 1m ⚡ carga práctica y resistente;62;1
02116;CABLE IP LIGHT TIPO C A IOS;CABLES / ADAPTADORES;245;🔌 USB-C a iPhone ⚡ carga rápida;63;1
09102;PAÑO LIMPIEZA;RICH;303;🛠️ Accesorio técnico ✨ práctico para trabajo profesional;64;1
