code;name;ventas_cantidad;ingresos_cantidad;stock_actual;movimientos_venta;display_order_sugerido;visible_sugerido
09020;LAMINA RICH TRANSP HD;20626;20160;418;315;1;1
09021;LAMINA RICH MATE;12409;11482;0;212;2;1
05675;CARG ANSTY C-054T SCH TIPO C;9500;11600;2648;865;3;1
09022;LAMINA RICH ANTIESPIA MATE;7809;7866;610;167;4;1
02001;CABLE LDNIO SY-03 BLANCO 1M V8;7670;7086;335;703;5;1
02003;CABLE LDNIO XS-07 PLANO 1M TIPO C;7380;7245;516;598;6;1
02122;CABLE LDNIO LS841 25W TIPO C;7022;7736;711;627;7;1
05676;CARG ANSTY C-054A SCH V8;6920;7960;532;644;8;1
090201;LAMINA RICH UV HD;6828;6915;477;166;9;1
02221;CABLE LDNIO LS901 1M TIPO C;5563;5342;343;468;10;1
09035;LAMINA RICH ANTI-BLUE;5000;4150;34;83;11;1
05625;CARG ECCO 18W FAST CHARGER TIPO C;4726;4929;313;605;12;1
08009;INSUMO 5440 BK;4498;4739;343;733;13;1
02121;CABLE LDNIO LS841 25W V8;3805;3750;144;364;14;1
05014;CARG LDNIO 18W A1204Q 3.0 TIPO C;3526;3402;47;532;15;1
08005;INSUMO 6640 BK;3522;3592;235;628;16;1
02002;CABLE LDNIO SY-03 BLANCO 1M IOS;3416;3411;271;359;17;1
02123;CABLE LDNIO LS841 25W IOS;3172;3010;85;296;18;1
09025;SKIN DE DISEÑO ALTO RELIEVE SURTIDA;3164;3148;427;410;19;1
090211;LAMINA RICH SUPER PREMIUN HD;3101;3523;361;55;20;1
09038;LAMINA RICH ANTIESPIA HD;3005;3250;301;62;21;1
02220;CABLE LDNIO LS901 1M V8;2918;2814;218;235;22;1
09047;LAMINA RICH LITE TRANS HD;2751;3000;0;48;23;1
09045;LAMINA RICH LITE ANTIESPIA MATE;2701;3049;398;53;24;1
02222;CABLE LDNIO LS901 1M IOS;2670;2684;0;298;25;1
09046;LAMINA RICH LITE MATE;2651;2700;49;42;26;1
01035;FLASH MEMORY ECCO 4GB;2628;2687;188;457;27;1
09043;LAMINA RICH EPU PRO ANTIESPIA HD;2583;2700;121;56;28;1
02041;CABLE LDNIO LS441 NYLON 1M TIPO C;2370;2534;241;190;29;1
05626;CARG ECCO 18W FAST CHARGER V8;2337;2230;81;341;30;1
08011;INSUMO 5440 Y;2330;2504;268;548;31;1
08012;INSUMO 5440 M;2296;2426;270;538;32;1
08010;INSUMO 5440 C;2278;2433;286;535;33;1
02415;CABLE ANSTY Z09-T TIPO C;2012;4025;829;124;34;1
02126;CABLE LDNIO LS641 COR 1M TIPO C;1995;2000;0;219;35;1
09040;LAMINA RICH EPU PRO TRANS HD;1900;2300;400;34;36;1
09039;LAMINA DISEÑO MATE;1758;2205;447;34;37;1
02201;CABLE LDNIO LS851 25W TIPO C;1744;1935;364;176;38;1
08007;INSUMO 6640 Y;1730;1879;230;431;39;1
08008;INSUMO 6640 M;1723;1905;241;423;40;1
08006;INSUMO 6640 C;1722;1879;241;428;41;1
01036;FLASH MEMORY ECCO 8GB;1720;1827;113;384;42;1
02096;CABLE LDNIO LS631 1M TIPO C;1691;1680;0;174;43;1
0201021;CABLE LDNIO LC901 30W TC A IP;1690;1677;1;221;44;1
03001;AUDIF ECON ML FUNDA BLANCO;1541;1586;2;179;45;1
